TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,
"We also can use this to do 'heavy up' [increase in shopper traffic] on it. So over like Cyber weekend and Cyber Monday, we could come up in here [in Pacvue] and say spend 50% more of the daily budget that we have allocated for those three days. And then reduce it back down, that time. So we don't have to do it individually. We just set up a rule [Optimisation Rule in Pacvue], apply it to all the appropriate wallets and send it out into our ether, and it makes that adjustment for us when filling wallets.",Pacvue, Competitor advantage, Optimisation, Wallets,,,,,,,,,,,,,,
"Budget Manager [in Pacvue], I can do a bulk. So we use this for bulk operations now as well. So if we need to pause or do that so that you don't have to go through this Ahold campaign [in AdManager] and individually archive every single one that is needed. And as you can see, there's hundreds of lines [campaigns in AdManager] and that takes our offshore team quite some time to have to execute.",Pacvue, Competitor advantage, Campaigns, AdManager, Bulk actions,,,,,,,,,,,,,
"Yeah. We can also archive and then reactivate and then also through here [Budget Manager in Pacvue], if an end date needs to be extended, we can just do it in here as well. And then that pushes out to the [AdManager] UI instead of having to do that individually again.",Pacvue, Date or Time related, Competitor advantage, AdManager,,,,,,,,,,,,,,
"Back to thinking about optimisations. There's some other tools that we have built here [in DataGrid] that the platform is really lacking as our API partners have no insight to. So we do have to run things on caps to ensure that it lasts. But unless you pulled by day and there was a single wallet you couldn't understand at what point per day that particular campaign was going dark [not serving]. So this has been built [Wallet Cap Out dashboard in DataGrid]. It tells us how many hours per day it's live, what percentage of a current day it's live. If there's a budget, a daily budget on the line item, it'll give you that. And then it will tell us what the recommended budget is based on the average number of hours dark [not serving]. And then this is done at both the campaign level, but also the wallet level.",Optimisation, DataGrid, Publishers, Managed service, Spend Limits / Cap-outs, API, Budget,,,,,,,,,,,
"So we only typically run campaigns on a wallet level versus the line item level. So it's one for self-serve, one for wallet level cap outs.",,,,,,,,,,,,,,,,,,
"If we're utilizing someone. Sorry, Dieter, sorry.",,,,,,,,,,,,,,,,,,
"Out of funds, and then what should Tammy pitch back to them [brands] based on what they're missing?",,,,,,,,,,,,,,,,,,
"With that, it also gives us like forecasted ROAS if they were to spend more. The important part is that we have the additional data points [in Campaign Cap out report in DataGrid] to sell that story back to them [brands] in order to take on additional money. They're not just going to give us more money if it's not going to perform well and they're not going to get additional sales. So this is a little cheat for Tori.",Forecasting, ROAS, DataGrid, Data, Reporting, Brands,,,,,,,,,,,,
"It's not 100% exact I imagine Tori, you have other things that you do when you go back to them. So maybe you go into that for Dieter.",,,,,,,,,,,,,,,,,,
"Yeah. So it's pretty elementary in terms of the calculation. But basically, it's just looking at, what their average hourly spend was up until the time they capped out and assuming that they'd spend that same amount throughout the rest of the day. So obviously, we know that people [buyers] continue like clicks and Ad requests continue to rise throughout the day and then we peak and then we drop off. So something like that's capping out at 8 a.m. we're probably likely going to underestimate how much incremental we could truly spend. So if I were going out to a client, I'd maybe bump it up slightly.",,,,,,,,,,,,,,,,,,
"And then for the same situation, if it was capping out at 11 p.m. at night, it's might show me that there's incremental [spend] and the incremental might be overstated. So I just got to like balance how we're doing those asks.",,,,,,,,,,,,,,,,,,
"I know that analytics is working on getting it smarter in terms of like, OK, it's capping out at this time based off of like percent of Ad requests that we typically get in click-through rate [CTR] increases. Like they're [analytics] trying to get the calculations to be smarter to make it more accurate for when we reach out. Because the worst thing that could happen is the client doesn't read it [as a spend that is] incremental and then we're still capping out.",,,,,,,,,,,,,,,,,,
"Additional layer [of complexity] is someone like Target and now Ahold. They use multiple attribution windows. So each brand might have a different 'look back' [for attribution reporting] that they're looking at in terms of what we need to optimise. So some people on Target may be doing a 14-day halo look [back], some may be doing a 30 day and some may be using the platform data. So they've built this [Attribution Look Back Window in DataGrid] so I can choose, OK, they're going to do a 30 day look back, but they don't care about in-store. So I can choose AdManager only or they only care about in-store [DataGrid Look Back report options to select radio buttons for AdManager Only or InStore only]. So I would select that. Or by unselecting it [checkboxes], it would do both of them together.",DataGrid, Target, In-Store, Ahold Delhaize, AdManager,,,,,,,,,,,,,
