TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,,
"Yeah, somewhat. I mean, there's one that's, you know, it's not the whole day spent yet, but it's almost reached its daily spend. We'll probably see that if we look at today's date actually. Let's look at two days [on the campaign report screen]. So you can see like there's a portion of the day, no clicks. That's where they lost daily spending. And then today hasn't really finished at all. And I think they're about to reset daily spend again. Examples where they're using daily spend to contain their budgets. But they're obviously having to miss out on certain times of the day [as shown in a dip in the spend graph on the Report screen] as a result which I think campaign budget pacing would resolve. May I ask there it, sorry to jump in Sarah. But may I what happens? What's your advice to Colgate it if something like that happens? What do you give them as a suggestion and what they could do to fix that? I mean, if they're trying to show more often, they got two options. They can [1] reduce their bid, which will give them a lower click price [max bid], AKA more clicks at lower price. So probably going to last longer doing that. And I got a caution to them that lowering your click price also lowers your position the auction. So there's every chance you get less sales at the same time. So it's not perfect, it's not ideal. But it's a good option if you need to maintain a daily spend. Otherwise, if you increase your daily spend, you would probably resolve this downtime here. So the general idea is you either [2] increase your budget or you reduce your bid.",Optimisation, Loss of revenue, Spend Limits / Cap-outs, Advice and guidance, Pacing, Search terms / Keywords, Auctions, Bidding, Performance, Campaigns, Spend, Business strategy, Concern or Worry,,,,,,
"Issue with campaigns is three methods, I think, that I can think of right now, which is email, calls or Intercom.",,,,,,,,,,,,,,,,,,,
"If we're counting budget recommendations probably once a day. If we're not including budget recommendations, probably like once a week. Because daily spending exists, it's not a huge issue. They can kind of deal with it, but it's not perfect. I'd say this is way more of a problem for Woolies because they don't use daily spending at all.",Woolworths, Budget, Spend Limits / Cap-outs, Routine activity, Advice and guidance, Business challenge,,,,,,,,,,,,,
"It's probably Always On [spend]. Like generally speaking, Always On it's kind of a total spend. It kind of will allocate budget wherever needed. And a lot of the times brands are able to reduce their prices by changing the bids and then their budget lasts longer as a result, right. So they can manipulate their pacing manually. So I think as long as people are trained then Always On is usually preferred. And I think it is doing the majority out of the three spend types. But daily spend is used when brands are starting to get like either tight on their budgets, like they're not being given additional budget, their budgets aren't growing. Or I guess they're starting to have like recently, for example, Mars PetCare had a very large surge in their costs, because they, I believe had a competitor enter the market, or enter the banner a auction and that really jumped up their costs to win the auctions. And then, basically they're Always On budget started spending very, very quickly. So, if they had daily spends’ on [set up] that would never have become a problem. If they had total spend budget pacing or whatever, that would have also not been a problem. So, daily spending becomes a solution to a scare [concern or worry], or I guess to budget constraints they've got.",Budget, Training, Concern or Worry, Spend, Spend Limits / Cap-outs, Bidding, Manual effort, Advice and guidance, Pacing, AdManager,,,,,,,,,
"Wallet management with Coles, that I've only just started doing, is not for suppliers. It's just for Coles to manage costs to see, how much things are costing, how much can they attribute to AdManager spending. That's the general idea of that. What I do to help with wallet pacing, is the specific wallet tracker I have [shared a Specific Wallet Tracker spreadsheet for Coles instance of AdManager]. You'll see here, it's basically based on the amount of money they've [brands have in their wallets] got right now, how much they spent last week. And therefore how much [budget], if they spent the same last week as this week, when would they reach zero? So that's what I pace. The reason I do that is so I can tell people ahead of time, like I've told these [brands - iNova, Colgate, Nestle, SmartFoods, and more], the ones in bold [in the spreadsheet] ahead of time how long they've got till their budgets at zero. And that can be a way of pre-empted a top-up, to stop them from getting to zero. So yeah, like this is a different ticket entirely. But yeah, the idea is to notify people based on their current pace that they're about to hit zero.",Spend, Wallets, Hack or Workaround, Performance, Budget, iNova Pharmaceuticals, Coles, Retailer needs, Advice and guidance, Pacing, Google spreadsheet, SmartFoods, Brands, Colgate-Palmolive,,,,,
All Ads stop [serving].,,,,,,,,,,,,,,,,,,,
"If you mean topping up, some billing, no. It's done by Coles. I am here to notify people before it gets to zero to keep burn rate [spend of budget] going. Because if I don't notify people that number of continuous burn [spend] will be significantly lower. I wouldn't be surprised if it was like half the amount we currently burn [spend] out of Coles.",Manual effort, Spend, Business norm, Wallets, Overspending, Support, Coles,,,,,,,,,,,,
Yeah. I kind of ratio this out to be like minutes or days.,,,,,,,,,,,,,,,,,,,
This is admin that I do when I don't have meetings.,,,,,,,,,,,,,,,,,,,
"No, you can't do this through AdManager [access all the data required]. This is done through DataGrid I think do provided a solution for SmartCart, but I haven't been so lucky. So my solution [shared Coles Wallet Balance dashboard in DataGrid] which again this is like kind of what I'm giving it Coles now, weekly. So this is tracking the daily wallet balances of every account on Coles specifically. So that's how I find this start.",SmartCart, DataGrid, Limitation, Data challenge, Coles, Performance, AdManager, Wallets,,,,,,,,,,,
